업소명,소재지(도로명),소재지(지번),소재지전화
메밀청,"부산광역시 연제구 종합운동장로 7 (거제동, 홈플러스 아시아드점)",부산광역시 연제구 거제동 1208번지 홈플러스 아시아드점 , 051- 500-8000
본죽법조타운점,"부산광역시 연제구 법원남로10번길 7, 1층 (거제동)",부산광역시 연제구 거제동 1489번지 2호  , 051- 507-9898
양동마을,부산광역시 연제구 고분로31번길 40 (연산동),부산광역시 연제구 연산동 615번지 84호  , 051- 867-7933
찜할래,부산광역시 연제구 고분로31번길 15 (연산동),부산광역시 연제구 연산동 630번지 8호  , 051- 866-9468
블랙타운,부산광역시 연제구 거제천로 115-1 (거제동),부산광역시 연제구 거제동 41번지 1호  , 051- 861-6414
우미장꼬리곰탕,부산광역시 연제구 법원로32번길 18 (거제동),부산광역시 연제구 거제동 1489번지 1호  , 051- 501-2208
금화루,"부산광역시 연제구 해맞이로 23 (거제동,상가 115동 115동 101호)",부산광역시 연제구 거제동 714번지 144호 상가 115동 115동 101호 , 051- 506-4188
이자카야 다루마초밥,부산광역시 연제구 과정로265번길 6 (연산동),부산광역시 연제구 연산동 1051번지 3호  ,051 -759 -7999
석이네김밥,부산광역시 연제구 연수로 150 (연산동),부산광역시 연제구 연산동 1940번지 13호  , 051- 865-9450
연산숯불갈비,부산광역시 연제구 과정로114번길 22 (연산동),부산광역시 연제구 연산동 492번지 5호  , 051- 753-7242
(주)장연리젠트,부산광역시 연제구 월드컵대로164번길 26 (연산동),부산광역시 연제구 연산동 1127번지 1호  , 051- 863-1756
그집,부산광역시 연제구 월드컵대로145번길 46 (연산동),부산광역시 연제구 연산동 1288번지 30호  , 051- 865-0004
매워도 조아,부산광역시 연제구 월드컵대로 119 (연산동),부산광역시 연제구 연산동 709번지 15호  , 051- 863-5020
류재열의명품코다리찜부산1호점,부산광역시 연제구 좌수영로 310 (연산동),부산광역시 연제구 연산동 463번지 7호  ,051 -756 -0053
종로빈대떡,부산광역시 연제구 고분로31번길 13 (연산동),부산광역시 연제구 연산동 630번지 7호  , 051- 864-8882
서울곰탕,부산광역시 연제구 월드컵대로 166 (연산동),부산광역시 연제구 연산동 1141번지 40호  , 051- 853-1967
합천식당,부산광역시 연제구 해맞이로67번길 3 (거제동),부산광역시 연제구 거제동 676번지 72호  , 051- 501-9640
밤애,부산광역시 연제구 과정로265번길 9 (연산동),부산광역시 연제구 연산동 380번지 3호  , 051- 864-6614
물꽁아구찜,부산광역시 연제구 중앙천로 81 (연산동),부산광역시 연제구 연산동 1310번지 41호  , 051- 853-2288
서산불낙지,부산광역시 연제구 고분로32번길 83 (연산동),부산광역시 연제구 연산동 652번지 3호  ,051 -867 -0577
울산고래고기,부산광역시 연제구 고분로 7-2 (연산동),부산광역시 연제구 연산동 730번지 1호  ,051 -864 -1664
핫도그,부산광역시 연제구 과정로225번길 36 (연산동),부산광역시 연제구 연산동 409번지 26호  ,051 -751 -8584
개미집,부산광역시 연제구 중앙대로1150번길 31 (연산동),부산광역시 연제구 연산동 579번지 36호  ,051 -908 -5010
수매풍 생선구이(2호점),부산광역시 연제구 월드컵대로188번길 39 (거제동),부산광역시 연제구 거제동 17번지 14호  , 051- 864-4576
허대군 숯불갈비,부산광역시 연제구 중앙대로1038번길 16 (연산동),부산광역시 연제구 연산동 1594번지 20호  ,051 -527 -4136
건강한밥상(옥이네),부산광역시 연제구 중앙대로1038번길 33 (연산동),부산광역시 연제구 연산동 1597번지 18호  ,
행복한빅마마,부산광역시 연제구 월드컵대로 151 (연산동),부산광역시 연제구 연산동 1241번지 9호  , 051- 852-0218
코지코너,부산광역시 연제구 토곡로 6 (연산동),부산광역시 연제구 연산동 479번지 18호  , 051- 756-1876
생생오징어,부산광역시 연제구 고분로 237 (연산동),부산광역시 연제구 연산동 477번지 24호  , 051- 759-5598
불끈낙지,부산광역시 연제구 월드컵대로 166 (연산동),부산광역시 연제구 연산동 1141번지 40호  ,051 -852 -4750
금돼지 식당,부산광역시 연제구 배산로 14 (연산동),부산광역시 연제구 연산동 2133번지 12호  , 051- 868-9459
생탁마을,부산광역시 연제구 고분로31번길 6 (연산동),부산광역시 연제구 연산동 632번지 8호  , 051- 852-9291
황금복,부산광역시 연제구 과정로 332-1 (연산동),부산광역시 연제구 연산동 307번지 29호  , 051- 852-1796
투가이즈,부산광역시 연제구 과정로344번길 25 (연산동),부산광역시 연제구 연산동 306번지 6호  , 051- 851-5115
옛날 손짜장,부산광역시 연제구 중앙대로1235번길 15-3 (거제동),부산광역시 연제구 거제동 114번지 14호  ,
갈무리,부산광역시 연제구 중앙대로1038번길 10 (연산동),부산광역시 연제구 연산동 1594번지 5호  ,051 -865 -8472
수상한 포차,부산광역시 연제구 과정로 281 (연산동),부산광역시 연제구 연산동 370번지 2호  ,
지오,부산광역시 연제구 중앙대로 1030 (연산동),부산광역시 연제구 연산동 1363번지 14호  ,051 -851 -3900
황우동,부산광역시 연제구 과정로208번길 18 (연산동),부산광역시 연제구 연산동 396번지 29호  ,051 -754 -2888
사케노젠,부산광역시 연제구 월드컵대로145번길 26 (연산동),부산광역시 연제구 연산동 1244번지 3호  , 051- 863-4400
만석군 7080 소주방,부산광역시 연제구 연수로148번길 3 (연산동),부산광역시 연제구 연산동 1947번지 7호  ,051 -852 -8636
다비다웨딩홀& 부페,"부산광역시 연제구 연수로 86, 2층 (연산동)",부산광역시 연제구 연산동 844번지 14호  , 051- 852-8001
환타지식당,부산광역시 연제구 과정로 308 (연산동),부산광역시 연제구 연산동 344번지 3호  ,051 -866 -1083
청진동해장국,부산광역시 연제구 월드컵대로 238 (거제동),부산광역시 연제구 거제동 1042번지 4호  , 051- 501-3666
나나,부산광역시 연제구 과정로 110 (연산동),부산광역시 연제구 연산동 491번지 10호  , 051- 753-1090
보네르꾸숑,부산광역시 연제구 과정로225번길 23 (연산동),부산광역시 연제구 연산동 412번지 2호  ,
가야골 식당,"부산광역시 연제구 반송로 13-8, 1층 (연산동)",부산광역시 연제구 연산동 723번지 16호  , 051- 862-1220
삼겹시대,부산광역시 연제구 과정로191번가길 67 (연산동),부산광역시 연제구 연산동 413번지 2호  ,051 -756 -4969
금수강산,부산광역시 연제구 안연로8번길 37 (연산동),부산광역시 연제구 연산동 397번지 44호  , 051- 757-7740
고봉민 김밥(거제점),부산광역시 연제구 아시아드대로 96 (거제동),부산광역시 연제구 거제동 1476번지 5호  ,
Au(에이유),부산광역시 연제구 고분로13번길 67 (연산동),부산광역시 연제구 연산동 590번지 65호  ,051 -866 -1981
아우미돈까스,부산광역시 연제구 배산로 1 (연산동),부산광역시 연제구 연산동 2132번지 37호  , 051-867 -8443
무봤나 촌닭,부산광역시 연제구 거제천로 147 (거제동),부산광역시 연제구 거제동 34번지 19호  ,
고방,부산광역시 연제구 고분로 9 (연산동),부산광역시 연제구 연산동 730번지 7호  ,
태림정,부산광역시 연제구 황령산로 624 (연산동),부산광역시 연제구 연산동 825번지 19호  ,
뽕나무삼계탕,부산광역시 연제구 과정로208번길 5 (연산동),부산광역시 연제구 연산동 400번지 30호  ,051 -757 -9533
명가식당,부산광역시 연제구 연수로87번길 57 (연산동),부산광역시 연제구 연산동 793번지 5호  , 051- 861-2388
등촌동 샤브샤브 칼국수,부산광역시 연제구 과정로 127 (연산동),부산광역시 연제구 연산동 490번지 33호  , 051-759 -0089
해물왕거제도굴구이,부산광역시 연제구 쌍미천로155번길 34 (연산동),부산광역시 연제구 연산동 620번지 9호  , 051- 865-2304
진구네 맛집,부산광역시 연제구 거제천로 171 (거제동),부산광역시 연제구 거제동 15번지 45호  ,051 -867 -9323
금성녹두삼계탕,부산광역시 연제구 시청로32번길 2 (연산동),부산광역시 연제구 연산동 1503번지 8호  , 051- 853-6988
대궁식당,부산광역시 연제구 안연로8번길 58-1 (연산동),부산광역시 연제구 연산동 400번지 33호  , 051- 755-4563
새벽숯불가든,부산광역시 연제구 고분로31번길 7 (연산동),부산광역시 연제구 연산동 631번지 1호  ,051 -928 -9589
부잣집식당,부산광역시 연제구 거제시장로 15-2 (거제동),부산광역시 연제구 거제동 574번지 53호  , 051- 852-0019
썬더치킨(연산1호점),부산광역시 연제구 연수로 228 (연산동),부산광역시 연제구 연산동 1811번지 156호  ,051 -861 -9282
어벤더치 시청점,부산광역시 연제구 거제천로 90 (연산동),부산광역시 연제구 연산동 1505번지 34호  , 051- 864-3845
희자양곱창,부산광역시 연제구 반송로 62-17 (연산동),부산광역시 연제구 연산동 589번지 23호  , 051- 852-9289
아저씨 요리,부산광역시 연제구 안연로 5 (연산동),부산광역시 연제구 연산동 383번지 24호  , 051-868 -8770
오메가메(푸짐한집),부산광역시 연제구 연수로148번길 13 (연산동),부산광역시 연제구 연산동 1941번지 2호  ,
달래비어 연산점,부산광역시 연제구 쌍미천로151번길 41 (연산동),부산광역시 연제구 연산동 631번지 5호  ,
진성장어구이.횟집,부산광역시 연제구 거제시장로14번길 28 (거제동),부산광역시 연제구 거제동 486번지 1호  , 051- 863-0048
할매칼국수,부산광역시 연제구 과정로225번길 15 (연산동),부산광역시 연제구 연산동 412번지 1호  , 051-759 -5052
서울깍두기 연산점,부산광역시 연제구 중앙대로1120번길 14-7 (연산동),부산광역시 연제구 연산동 723번지 15호  ,051 -852 -4213
참숯갈비,부산광역시 연제구 거제천로 66 (연산동),부산광역시 연제구 연산동 1514번지 34호  ,051 -853 -3006
향토집굴국밥,부산광역시 연제구 중앙대로1043번길 50 (연산동),부산광역시 연제구 연산동 1369번지 9호  , 051- 864-9876
북경반점,부산광역시 연제구 거제천로255번가길 50 (거제동),부산광역시 연제구 거제동 1463번지 2호  , 051- 866-5457
생복집,"부산광역시 연제구 시청로31번길 26 (연산동,지상1층)",부산광역시 연제구 연산동 1507번지 13호 지상1층 , 051- 866-4211
김현주보리밥,부산광역시 연제구 중앙대로1235번길 10-8 (거제동),부산광역시 연제구 거제동 116번지 15호  , 051- 502-3538
세모집,부산광역시 연제구 고분로13번길 49 (연산동),부산광역시 연제구 연산동 590번지 15호  ,051 -863 -1877
토곡본죽,부산광역시 연제구 과정로 169 (연산동),부산광역시 연제구 연산동 418번지 31호  , 051- 751-8869
연일시장횟집,부산광역시 연제구 쌍미천로141번길 36 (연산동),부산광역시 연제구 연산동 636번지 9호  , 051- 861-1755
용꿈 해물찜,부산광역시 연제구 월드컵대로91번가길 39 (연산동),부산광역시 연제구 연산동 705번지 1호  , 051- 853-9457
내사랑 족발,부산광역시 연제구 신촌로 37 (연산동),부산광역시 연제구 연산동 1500번지 18호  , 051- 866-3848
웰빙여행,부산광역시 연제구 중앙대로1043번길 50 (연산동),부산광역시 연제구 연산동 1369번지 9호  , 051- 864-3455
국민생아구찜,부산광역시 연제구 월드컵대로47번길 31 (연산동),부산광역시 연제구 연산동 774번지 2호  ,051 -863 -4467
양푼이동태탕,부산광역시 연제구 거제천로182번길 50-2 (연산동),부산광역시 연제구 연산동 1127번지 20호  , 051- 864-0331
돈방림,부산광역시 연제구 거제천로 151-1 (거제동),부산광역시 연제구 거제동 34번지 12호  , 051- 867-0088
제주家 흑돼지,부산광역시 연제구 거제천로152번길 31 (연산동),부산광역시 연제구 연산동 1255번지 8호  ,051 -863 -5203
(주)화송센트럴레스토랑,"부산광역시 연제구 중앙대로 1122 (연산동,외1필지)",부산광역시 연제구 연산동 675번지 9호 외1필지 , 051- 866-6525
영남식당,부산광역시 연제구 중앙대로 1030-1 (연산동),부산광역시 연제구 연산동 1328번지 15호  ,051 -868 -0648
이가 밀면 칼국수,부산광역시 연제구 쌍미천로 85 (연산동),부산광역시 연제구 연산동 655번지 16호  , 051- 864-4467
북면막걸리,"부산광역시 연제구 거제천로 116 (연산동,(1층))",부산광역시 연제구 연산동 1499번지 34호 (1층) , 051- 863-7880
영돈까스,부산광역시 연제구 연동로7번길 7 (연산동),부산광역시 연제구 연산동 342번지 10호  , 051- 853-9293
어가초밥연산점,부산광역시 연제구 월드컵대로 152 (연산동),부산광역시 연제구 연산동 1127번지 7호  ,051 -868 -0884
단이식당,부산광역시 연제구 과정로 296-1 (연산동),부산광역시 연제구 연산동 344번지 22호  , 051- 852-8880
바나나,부산광역시 연제구 쌍미천로155번길 43 (연산동),부산광역시 연제구 연산동 630번지 15호  , 051- 868-5566
다깡,부산광역시 연제구 고분로31번길 34 (연산동),부산광역시 연제구 연산동 615번지 36호  ,
명품물회연산점,부산광역시 연제구 반송로 32 (연산동),부산광역시 연제구 연산동 590번지 39호  , 051- 863-5000
차이나 쿡,부산광역시 연제구 중앙대로1075번길 20 (연산동),부산광역시 연제구 연산동 1288번지 27호 (102호) ,051 -861 -1777
남자마늘보쌈(연산교차로점),부산광역시 연제구 고분로 7 (연산동),부산광역시 연제구 연산동 730번지 20호  , 051- 853-0090
김상수 피자 앤 돈까스,부산광역시 연제구 과정로 223 (연산동),부산광역시 연제구 연산동 406번지 13호  , 051- 759-1410
섬,부산광역시 연제구 쌍미천로155번길 43 (연산동),부산광역시 연제구 연산동 630번지 15호  , 051- 867-6671
다래정,부산광역시 연제구 중앙대로1235번길 16 (거제동),부산광역시 연제구 거제동 113번지 1호  , 051- 504-3370
구월푸짐한집,부산광역시 연제구 월드컵대로99번길 15 (연산동),부산광역시 연제구 연산동 711번지 37호  , 051- 862-3061
케이닭,부산광역시 연제구 아시아드대로 87 (거제동),부산광역시 연제구 거제동 894번지 11호  , 051- 504-9952
두더지식당,부산광역시 연제구 법원북로 81 (거제동),부산광역시 연제구 거제동 394번지 5호  ,051 -506 -9881
윤태금 복국,"부산광역시 연제구 월드컵대로145번길 29 (연산동,(덕산프라자 2층))",부산광역시 연제구 연산동 1287번지 13호 (덕산프라자 2층) , 051- 866-5295
양말례 남원추어탕,"부산광역시 연제구 중앙대로1043번길 50 (연산동,목림레포츠 B/D 1층)",부산광역시 연제구 연산동 1369번지 9호 목림레포츠 B/D 1층 ,051 - 868-9279
산수유갈비탕,부산광역시 연제구 거제천로182번길 42-1 (연산동),부산광역시 연제구 연산동 1127번지 27호  ,051 -553 -5454
원조소금구이,부산광역시 연제구 쌍미천로155번길 31 (연산동),부산광역시 연제구 연산동 630번지 12호  , 051- 867-4916
맛자랑,부산광역시 연제구 거제시장로14번길 59 (거제동),부산광역시 연제구 거제동 453번지 14호  , 051- 864-8615
청송산오징어,부산광역시 연제구 쌍미천로141번길 29 (연산동),부산광역시 연제구 연산동 637번지 11호  , 051- 867-3575
고반식당 연산점,부산광역시 연제구 고분로13번길 81 (연산동),부산광역시 연제구 연산동 589번지 7호  , 051- 851-8833
개화루,부산광역시 연제구 과정로278번길 6 (연산동),부산광역시 연제구 연산동 366번지 49호  ,
할매보쌈,부산광역시 연제구 월드컵대로145번길 11 (연산동),부산광역시 연제구 연산동 1242번지 6호  , 051- 853-8005
서울왕돈까스,"부산광역시 연제구 거제천로 207, 1층 (거제동)",부산광역시 연제구 거제동 1번지 8호  , 051- 863-3292
한우천국,부산광역시 연제구 명륜로 17 (거제동),부산광역시 연제구 거제동 152번지  , 051- 507-6006
싱글벙글,부산광역시 연제구 중앙대로 1041 (연산동),부산광역시 연제구 연산동 1330번지 10호  ,
수원분식,<REPLACE>,부산광역시 연제구 거제동 596번지 10호  ,
돈칼막 고당,부산광역시 연제구 세병로 4 (연산동),부산광역시 연제구 연산동 584번지 15호  , 051- 866-8656
사랑의 술잔,부산광역시 연제구 중앙대로1038번길 60 (연산동),부산광역시 연제구 연산동 1642번지 27호  , 051-866 -2289
대가참치,부산광역시 연제구 월드컵대로145번길 29 (연산동),부산광역시 연제구 연산동 1287번지 13호  , 051- 852-0030
쉬즈,"부산광역시 연제구 고분로13번길 43 (연산동,(3층))",부산광역시 연제구 연산동 590번지 106호 (3층) ,
산청강마을어탕국수,부산광역시 연제구 월드컵대로165번길 5 (연산동),부산광역시 연제구 연산동 1143번지 12호  , 051- 868-1746
블랙로즈,부산광역시 연제구 과정로 338 (연산동),부산광역시 연제구 연산동 307번지 52호  ,051 -851 -8882
락시,부산광역시 연제구 쌍미천로155번길 41 (연산동),부산광역시 연제구 연산동 630번지 3호  , 051- 861-3434
모리향,부산광역시 연제구 고분로236번길 81 (연산동),부산광역시 연제구 연산동 117번지 59호  , 051- 751-9293
남다른 감자탕 연산토곡점,부산광역시 연제구 안연로 1 (연산동),부산광역시 연제구 연산동 383번지 23호  , 051- 862-5020
3 .3문현곱창,부산광역시 연제구 연수로 202 (연산동),부산광역시 연제구 연산동 1835번지 3호  , 051- 851-9282
청송집,부산광역시 연제구 고분로235번길 8-1 (연산동),부산광역시 연제구 연산동 477번지 31호  ,
7080 올드팝스,부산광역시 연제구 월드컵대로 152 (연산동),부산광역시 연제구 연산동 1127번지 7호  , 051- 864-7080
남해횟집,부산광역시 연제구 고분로 24 (연산동),부산광역시 연제구 연산동 636번지 28호  , 051- 868-6378
소담면옥,부산광역시 연제구 과정로 126 (연산동),부산광역시 연제구 연산동 489번지 10호  , 051- 756-0002
맛돌스 돼지갈비,부산광역시 연제구 과정로191번가길 68 (연산동),부산광역시 연제구 연산동 406번지 40호  , 051- 754-5084
영덕대게시청점,부산광역시 연제구 거제천로 101-1 (거제동),부산광역시 연제구 거제동 457번지 30호  , 051- 863-3572
빵 85,부산광역시 연제구 중앙대로1043번길 20 (연산동),부산광역시 연제구 연산동 1362번지 8호  , 051- 866-8955
촉석루,부산광역시 연제구 중앙대로 1243 (거제동),부산광역시 연제구 거제동 108번지  , 051- 506-7971
연경,부산광역시 연제구 고분로31번길 42 (연산동),부산광역시 연제구 연산동 615번지 85호  , 051- 853-3258
(주)더파티 더파티 시청점,부산광역시 연제구 중앙대로 1000 (연산동),부산광역시 연제구 연산동 1422번지 8호  , 051- 668-7676
지코바숯불바베큐,부산광역시 연제구 거제천로 134 (연산동),부산광역시 연제구 연산동 1292번지 6호  , 051- 861-0073
대성횟집,부산광역시 연제구 고분로 242 (연산동),부산광역시 연제구 연산동 482번지 1호  ,
쿡 찜닭,부산광역시 연제구 쌍미천로151번길 34 (연산동),부산광역시 연제구 연산동 630번지 33호  ,
수봉돼지국밥,부산광역시 연제구 중앙대로1150번길 35 (연산동),부산광역시 연제구 연산동 579번지 37호  , 051- 866-3898
단물곤물,부산광역시 연제구 월드컵대로 164 (연산동),부산광역시 연제구 연산동 1127번지 13호  ,
비비안리,부산광역시 연제구 과정로 175 (연산동),부산광역시 연제구 연산동 418번지 22호  , 051- 752-1792
사계절 즉석국수,부산광역시 연제구 안연로7번길 3 (연산동),부산광역시 연제구 연산동 383번지 26호  ,
양다양,부산광역시 연제구 고분로13번길 43 (연산동),부산광역시 연제구 연산동 590번지 106호  ,051 -852 -9507
옥류관,부산광역시 연제구 월드컵대로 90-11 (연산동),부산광역시 연제구 연산동 700번지 27호  , 051- 853-6789
명품김밥,부산광역시 연제구 과정로 142 (연산동),부산광역시 연제구 연산동 480번지 7호  , 051- 755-1002
바우네 나주곰탕,부산광역시 연제구 거제천로 101 (거제동),부산광역시 연제구 거제동 457번지 31호  , 051- 866-0430
오륙도횟집,부산광역시 연제구 금련로18번길 12 (연산동),부산광역시 연제구 연산동 1811번지 304호  , 051- 865-9910
칠보락,"부산광역시 연제구 쌍미천로 175-10, 1.2층 (연산동)",부산광역시 연제구 연산동 615번지 110호  , 051- 865-7732
죽이야기 연산점,부산광역시 연제구 거제천로 258 (연산동),부산광역시 연제구 연산동 581번지 4호  , 051- 868-6233
참맛식당,"부산광역시 연제구 시청로32번길 5 (연산동,(2층))",부산광역시 연제구 연산동 1505번지 45호 (2층) , 051- 853-8789
둥지갈비,부산광역시 연제구 과정로 269-1 (연산동),부산광역시 연제구 연산동 381번지 2호  , 051- 861-7372
블루째즈,"부산광역시 연제구 과정로164번길 6 (연산동,지하1층)",부산광역시 연제구 연산동 478번지 30호 지하1층 ,051 -757 -1989
긴타로,부산광역시 연제구 시청로32번길 5 (연산동),부산광역시 연제구 연산동 1505번지 45호  ,051 -867 -2504
장수촌돼지국밥,부산광역시 연제구 거제천로230번길 90 (연산동),부산광역시 연제구 연산동 677번지 13호  , 051- 865-5777
고반등심 연산점,부산광역시 연제구 고분로13번길 48 (연산동),부산광역시 연제구 연산동 619번지 2호  ,
맛있는 집밥,부산광역시 연제구 중앙대로1150번길 35 (연산동),부산광역시 연제구 연산동 579번지 37호  , 051- 867-5100
오미가미,부산광역시 연제구 교대로22번길 7 (거제동),부산광역시 연제구 거제동 249번지 15호  , 051- 507-1232
골목집생고기촌,부산광역시 연제구 월드컵대로119번길 59 (연산동),부산광역시 연제구 연산동 705번지 28호  ,
어시장,부산광역시 연제구 토곡남로 6 (연산동),부산광역시 연제구 연산동 57번지 1호  , 051- 759-9260
해성관,부산광역시 연제구 과정로208번길 15 (연산동),부산광역시 연제구 연산동 397번지 20호  , 051- 751-1935
구당 김밥일번지 교대점,부산광역시 연제구 중앙대로 1206 (거제동),부산광역시 연제구 거제동 70번지 4호  , 051- 503-6110
청해바다장어구이,부산광역시 연제구 배산로23번길 3 (연산동),부산광역시 연제구 연산동 2124번지 16호  , 051- 851-4421
헬로비어,부산광역시 연제구 중앙대로 1204 (거제동),부산광역시 연제구 거제동 70번지 6호  , 051- 917-9031
OK(오케이)암소갈비살 거제점,부산광역시 연제구 거제시장로14번길 62 (거제동),부산광역시 연제구 거제동 457번지 21호  ,
톡톡,부산광역시 연제구 중앙대로1133번길 8 (연산동),부산광역시 연제구 연산동 1123번지 16호  , 051- 851-0963
서울식당,부산광역시 연제구 토곡남로20번길 4 (연산동),부산광역시 연제구 연산동 22번지 92호  , 051- 761-2645
썬더치킨 연산2호점,부산광역시 연제구 고분로13번길 5-13 (연산동),부산광역시 연제구 연산동 730번지 4호  ,051 -851 -8592
월남쌈The샤브,"부산광역시 연제구 과정로 139 (연산동,1층)",부산광역시 연제구 연산동 479번지 6호 1층 , 051-757 -2895
강구원조물회국수,부산광역시 연제구 거제천로124번길 1 (연산동),부산광역시 연제구 연산동 1478번지 7호  , 051- 868-5003
한우고집,부산광역시 연제구 월드컵대로 225-1 (거제동),부산광역시 연제구 거제동 1177번지 17호  , 051- 504-3949
규가,"부산광역시 연제구 중앙대로1065번길 4 (연산동,(1층))",부산광역시 연제구 연산동 1384번지 7호 (1층) , 051- 851-7863
잭과 콩나무,부산광역시 연제구 연안로13번길 77 (연산동),부산광역시 연제구 연산동 397번지 37호  , 051- 751-0066
섬마을,부산광역시 연제구 중앙대로1133번길 8 (연산동),부산광역시 연제구 연산동 1123번지 16호  , 051- 851-2577
흐를류,부산광역시 연제구 반송로 32-19 (연산동),부산광역시 연제구 연산동 590번지 29호  ,
골치기,부산광역시 연제구 쌍미천로155번길 31 (연산동),부산광역시 연제구 연산동 630번지 12호  ,
모던토픽,"부산광역시 연제구 온천천공원길 4 (거제동,메타폴리스 상가 2층)",부산광역시 연제구 거제동 139번지 10호 메타폴리스 상가 2층 , 051- 502-4255
양곱창마을,부산광역시 연제구 중앙대로1120번길 8 (연산동),부산광역시 연제구 연산동 724번지 2호  , 051- 867-1102
만수상회,부산광역시 연제구 고분로13번길 41 (연산동),부산광역시 연제구 연산동 590번지 98호  ,
남해횟집,부산광역시 연제구 월드컵대로145번길 55 (연산동),부산광역시 연제구 연산동 1384번지 3호  , 051- 851-1666
아구아구,부산광역시 연제구 중앙대로1124번길 12 (연산동),부산광역시 연제구 연산동 675번지 13호  , 051- 863-2939
모모(MOMO),부산광역시 연제구 중앙대로1235번길 33 (거제동),부산광역시 연제구 거제동 242번지 8호  ,
진,"부산광역시 연제구 고분로13번길 41 (연산동,(5층))",부산광역시 연제구 연산동 590번지 98호 (5층) , 051- 868-0388
코코,부산광역시 연제구 고분로13번길 65 (연산동),부산광역시 연제구 연산동 590번지 17호  ,051 -867 -8983
류차이,부산광역시 연제구 고분로13번길 5-12 (연산동),부산광역시 연제구 연산동 603번지 25호  ,051 -852 -3320
김군 고로케,부산광역시 연제구 배산로 1 (연산동),부산광역시 연제구 연산동 2132번지 37호  ,
구백도,부산광역시 연제구 중앙대로1043번길 24 (연산동),부산광역시 연제구 연산동 1361번지 13호  , 051- 852-3647
신 솔잎족발,부산광역시 연제구 고분로13번길 5-14 (연산동),부산광역시 연제구 연산동 603번지 13호  , 051- 868-3310
허니,부산광역시 연제구 고분로13번길 54 (연산동),부산광역시 연제구 연산동 619번지 1호  ,
후(WHO),"부산광역시 연제구 월드컵대로 153 (연산동,연희빌딩 2층)",부산광역시 연제구 연산동 1143번지 18호 연희빌딩 2층 , 051- 864-1114
대박집,부산광역시 연제구 월드컵대로165번길 14 (연산동),부산광역시 연제구 연산동 1256번지 6호  ,051 -853 -0305
100세영양탕,부산광역시 연제구 고분로235번길 17 (연산동),부산광역시 연제구 연산동 478번지 36호  ,051 -756 -4920
초원식당,부산광역시 연제구 시청로32번길 8-1 (연산동),부산광역시 연제구 연산동 1503번지 9호  ,051 -863 -6284
궁토생고기,부산광역시 연제구 거제천로146번길 62 (연산동),부산광역시 연제구 연산동 1288번지 16호  , 051- 868-0703
위드앤,부산광역시 연제구 토곡로 38 (연산동),부산광역시 연제구 연산동 15번지 7호  ,
B.H.C치킨연산점,부산광역시 연제구 거제천로 258 (연산동),부산광역시 연제구 연산동 581번지 4호  ,051 -866 -9282
떡볶이야,부산광역시 연제구 세병로 5 (연산동),부산광역시 연제구 연산동 588번지 1호  , 051- 851-7377
가와돈,부산광역시 연제구 세병로 84 (거제동),부산광역시 연제구 거제동 1466번지 24호  , 051- 852-8887
종갓집양곱창,"부산광역시 연제구 거제대로178번길 51-2, 1층 (거제동)",부산광역시 연제구 거제동 555번지 13호  , 051- 867-1007
코야,부산광역시 연제구 월드컵대로145번길 78 (연산동),부산광역시 연제구 연산동 1386번지 35호  , 051- 861-7616
팔공티부산시청점,부산광역시 연제구 시청로 26-1 (연산동),부산광역시 연제구 연산동 1371번지 13호  ,
짱태,"부산광역시 연제구 거제천로 258 (연산동,월드빌 스포츠센터 108호)",부산광역시 연제구 연산동 581번지 4호 월드빌 스포츠센터 108호 ,051 -852 -9229
황매산 할매국밥,부산광역시 연제구 대리로6번길 50 (연산동),부산광역시 연제구 연산동 686번지 28호  , 051- 861-6552
레드슈,"부산광역시 연제구 고분로13번길 5-13 (연산동,2층)",부산광역시 연제구 연산동 730번지 4호 2층 , 051- 865-3335
주식회사 더파티 더파티 시청점,"부산광역시 연제구 중앙대로 1000 (연산동,국민연금빌딩 2층)",부산광역시 연제구 연산동 1422번지 8호 국민연금빌딩 2층 , 051- 668-7373
나비,부산광역시 연제구 반송로 46 (연산동),부산광역시 연제구 연산동 590번지 49호  ,
핫 바(Bar),부산광역시 연제구 반송로 32-19 (연산동),부산광역시 연제구 연산동 590번지 29호  ,
티파니,부산광역시 연제구 고분로13번길 50 (연산동),부산광역시 연제구 연산동 619번지 5호  ,051 -861 -7808
이바돔 감자탕 옥아리,부산광역시 연제구 법원북로 45 (거제동),부산광역시 연제구 거제동 203번지 8호  ,    - 505-3004
미스터 양,부산광역시 연제구 쌍미천로151번길 37 (연산동),부산광역시 연제구 연산동 631번지 3호  ,
홍콩반점 연산동역점,"부산광역시 연제구 중앙대로 1124 (연산동,1층)",부산광역시 연제구 연산동 675번지 11호 1층 , 051- 852-8251
우미가,부산광역시 연제구 월드컵대로164번길 4 (연산동),부산광역시 연제구 연산동 1127번지 45호  ,
미식가의 연어,부산광역시 연제구 월드컵대로 146-1 (연산동),부산광역시 연제구 연산동 1127번지 15호  , 051- 867-7717
남원본가맛 추어탕,부산광역시 연제구 톳고개로 4 (연산동),부산광역시 연제구 연산동 410번지 39호  , 051- 758-1557
케이유채웨딩뷔페,"부산광역시 연제구 중앙대로 1217 (거제동,지하1층)",부산광역시 연제구 거제동 76번지 2호 지하1층 , 051- 507-1195
