업소명,소재지(도로명),소재지(지번),소재지전화
수제맥주집,"부산광역시 연제구 안연로 33, C동 1층 104호 (연산동, 더샾파크시티)",부산광역시 연제구 연산동 2311번지  ,
귀한사람들을 위한 족발,"부산광역시 연제구 과정로276번길 33, 1층 (연산동)",부산광역시 연제구 연산동 365번지 42호  ,
또바기식당,"부산광역시 연제구 신촌로23번길 2, 1층 (연산동)",부산광역시 연제구 연산동 1498번지 45호  ,
물 맑은 숭어,부산광역시 연제구 거제천로 121 (거제동),부산광역시 연제구 거제동 40번지 18호  ,
천(川),"부산광역시 연제구 안연로 30, 1층 (연산동)",부산광역시 연제구 연산동 386번지 19호  ,
인생술집,부산광역시 연제구 안연로 9 (연산동),부산광역시 연제구 연산동 384번지 21호  ,
홀로그램,"부산광역시 연제구 월드컵대로114번길 3, 2층 (연산동)",부산광역시 연제구 연산동 746번지 11호  ,
오라이통닭,"부산광역시 연제구 과정로192번길 16, 1층 (연산동)",부산광역시 연제구 연산동 419번지 18호  ,
본죽 배산역점,"부산광역시 연제구 연수로 233, 1층 102호 (연산동)",부산광역시 연제구 연산동 2121번지 2호 102호 ,051 -853 -6288
쿠바,"부산광역시 연제구 신금로 8-1, 1층 (연산동)",부산광역시 연제구 연산동 345번지 6호  ,
행복이가득한집,부산광역시 연제구 거제대로124번길 46 (거제동),부산광역시 연제구 거제동 500번지 1호  ,051 -501 -0377
이모네 삼겹막창,"부산광역시 연제구 월드컵대로 117, B동 1층 235,236호 (연산동)",부산광역시 연제구 연산동 709번지 16호  ,
대디 돈스텍,"부산광역시 연제구 과정로278번길 75, 1층 (연산동)",부산광역시 연제구 연산동 345번지 14호  ,
얼짱쭈꾸미,부산광역시 연제구 거제천로 117 (거제동),부산광역시 연제구 거제동 40번지 89호  ,
원테이블 에트렌느,"부산광역시 연제구 안연로 38, 4층 (연산동)",부산광역시 연제구 연산동 386번지 6호  ,
복이네,"부산광역시 연제구 월드컵대로20번길 5, 1층 (연산동)",부산광역시 연제구 연산동 684번지 15호  ,
주인의 주방 시청점,"부산광역시 연제구 시청로32번길 11, 1층 (연산동)",부산광역시 연제구 연산동 1505번지 63호  ,
육판,"부산광역시 연제구 쌍미천로151번길 45, 1층 (연산동)",부산광역시 연제구 연산동 631번지 29호  ,051 -867 -5977
갓포모토원(KAPPO MOTO 元),"부산광역시 연제구 안연로 33, A동 109호 (연산동)",부산광역시 연제구 연산동 2311번지  A동 109호,051 -851 -1303
잔비어,"부산광역시 연제구 고분로32번길 52, 2층 (연산동)",부산광역시 연제구 연산동 646번지 1호  ,
박가네,부산광역시 연제구 교대로22번길 35 (거제동),부산광역시 연제구 거제동 114번지 8호  ,
수이자까야2,"부산광역시 연제구 시청로 36-4, 2층 (연산동)",부산광역시 연제구 연산동 1505번지 32호  ,
수이자까야1,"부산광역시 연제구 시청로 36-4, 1층 (연산동)",부산광역시 연제구 연산동 1505번지 32호  ,
이복통닭,"부산광역시 연제구 거제천로 102-3, 1층 (연산동)",부산광역시 연제구 연산동 1505번지 7호  ,051 -852 -7877
