,업소명,도로명주소,소재지전화,경도,위도
208,지엔지,부산광역시 연제구 거제천로182번길 50 ,051 -852 -0388,129.08001103836213,35.187474684240065
209,헤라,부산광역시 연제구 거제천로182번길 50 ,051 -852 -0677,129.08001103836213,35.187474684240065
210,리젠트 노래주점,부산광역시 연제구 월드컵대로164번길 26,,129.07933335367295,35.187760277091385
211,두꺼비노래주점,부산광역시 연제구 반송로 13-2,051 -865 -9709,129.08251684375423,35.18707835196325
212,대경,부산광역시 연제구 거제천로182번길 46,,129.07996195421805,35.187616107669406
213,쥬얼리노래방주점,부산광역시 연제구 월드컵대로153번길 10,,129.07921112556676,35.186237622781725
214,마혜진 작은음악회,부산광역시 연제구 중앙대로 1116-11,,129.08209774645354,35.18734509305377
215,아우라,부산광역시 연제구 고분로 7-1,,129.08332250631523,35.18613089457175
216,요정노래주점,부산광역시 연제구 거제천로182번길 50,,129.08001103836213,35.187474684240065
217,물레방아 라이브7080,부산광역시 연제구 중앙대로1124번길 12,051 -853 -1800,129.0818480458353,35.188055892145414
218,상남자,부산광역시 연제구 반송로 11,,129.08241139446727,35.18690353970118
219,월드 7080 라이브,부산광역시 연제구 중앙대로 1117,,129.08090487448433,35.187228627829
220,히든싱어 라이브,부산광역시 연제구 월드컵대로 146-1,,129.08048625869287,35.18699791794723
221,연안노래주점,부산광역시 연제구 거제천로182번길 42,,129.07982481672582,35.18774823003301
222,목화노래주점,부산광역시 연제구 월드컵대로 146-1,,129.08048625869287,35.18699791794723
223,썸 노래주점,부산광역시 연제구 반송로 28,,129.08392583741536,35.18757677493431
224,더킹(The King),부산광역시 연제구 중앙대로 1121,,129.0806668385645,35.18770852867209
225,요술궁 미인관,부산광역시 연제구 반송로 26,,129.08379788808105,35.187380723584006
226,목화물 나이트,부산광역시 연제구 중앙대로 1125,,129.08066688176,35.188054571160784
227,해상노래주점,부산광역시 연제구 중앙대로 1032 , 051- 864-7218,129.07760571645179,35.18060953335684
228,신도시 스탠드,부산광역시 연제구 중앙대로 1116-8 , 051- 864-1234,129.08201715966496,35.187112178973884
229,부자노래주점,부산광역시 연제구 연수로 201 , 051- 868-0021,129.09281155544144,35.17400352143543
230,유정,부산광역시 연제구 연수로 189-2 , 051- 865-7401,129.0916121678369,35.174139594185796
231,리카,부산광역시 연제구 쌍미천로151번길 50 ,051 -865 -2055,129.08442804883407,35.186266862921805
232,주연단란주점,부산광역시 연제구 과정로 301 ,051 -867 -7551,129.09430496997095,35.18857636886725
233,술마시는아하노래방,부산광역시 연제구 과정로 189 , 051- 759-7704,129.1065101853719,35.18767612380377
234,시넬,부산광역시 연제구 중앙대로 1039-1 , 051- 868-1126,129.07768569946447,35.18150931650093
235,조아술마시는노래방,부산광역시 연제구 과정로 266 , 051- 862-6840,129.0982477666702,35.18805751843914
236,미소노래주점,부산광역시 연제구 과정로226번길 6 , 051- 759-3574,129.1027795552054,35.18807621011996
237,태정포장센타,부산광역시 연제구 반송로 13-2 , 051- 865-6208,129.08251684375423,35.18707835196325
238,공간단란,부산광역시 연제구 과정로226번길 8 , 051- 759-1121,129.1027734705246,35.18818084920186
239,술마시는노래방,부산광역시 연제구 과정로 281 ,,129.09650261560168,35.187979615710404
240,킹포장센터,부산광역시 연제구 과정로 295 , 051- 852-4790,129.09504663928487,35.18839051457149
241,음악창고,부산광역시 연제구 과정로283번길 1 , 051- 867-0079,129.0963929869848,35.18798511883013
242,발렌타인,부산광역시 연제구 대리로6번길 120 , 051- 852-0774,129.0865745570355,35.17594231153437
243,엘지노래단란주점,부산광역시 연제구 월드컵대로111번길 6-12 , 051- 868-2462,129.08189106270945,35.18440728007541
244,행운열차,부산광역시 연제구 월드컵대로 17 ,,129.0857021588337,35.17616280616229
245,엔젤,부산광역시 연제구 과정로 232-1 , 051- 759-4530,129.10185242303314,35.187879639487655
246,가람포장타운,부산광역시 연제구 중앙대로 1044 , 051- 863-3632,129.07824971219725,35.181416729739425
247,스타,부산광역시 연제구 과정로 280-1 ,051 -852 -1164,129.09673048409712,35.18830368823494
248,코리아나단란주점,부산광역시 연제구 월드컵대로119번길 21 , 051- 862-7055,129.08137338021334,35.18442339057511
249,티파니술마시는노래방,부산광역시 연제구 거제천로154번길 62 , 051- 866-2038,129.0799263686459,35.18587568850419
250,씽씽가라오케,부산광역시 연제구 중앙대로1120번길 20 , 051- 866-4340,129.0824690104683,35.18761265794685
251,7080 색소폰 라이브,부산광역시 연제구 쌍미천로 5 , 051- 861-3233,129.09212123374542,35.17430382065072
252,섹스폰라이브 노래타운,부산광역시 연제구 아시아드대로 42-1 , 051- 505-6777,129.06852438427487,35.18850056322913
253,로얄,부산광역시 연제구 거제천로87번길 29 , 051- 501-5733,129.07174002928005,35.18250875738948
254,아누리,부산광역시 연제구 거제시장로 29 , 051- 851-4542,129.07081210923369,35.181929869100244
255,늘봄,부산광역시 연제구 과정로 333-2, 051- 861-5342,129.09119128952875,35.18992425011888
256,동천,부산광역시 연제구 과정로 261 , 051- 865-3777,129.09864162390062,35.187664998704854
257,스타노래주점,부산광역시 연제구 연수로 177 , 051- 863-1888,129.0901302227029,35.17438506698143
258,오픈식,부산광역시 연제구 과정로 257-2 , 051- 865-5014,129.09885621285588,35.18764325543568
259,임금님,부산광역시 연제구 과정로 293 , 051- 853-7859,129.09519923204832,35.18834822301455
260,술마시는옥타곤노래방,부산광역시 연제구 월드컵대로 168 ,051 -852 -8702,129.07824259908713,35.187515869952655
261,매너kim(킴),부산광역시 연제구 반송로 22 , 051- 853-9496,129.0836191777792,35.187088221155584
