,사고번호,발생일시,발생요일,발생시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도,위도,경도
77,2017042900100084.0,2017년 4월 29일 04시,토요일,부산광역시 부산진구 연지동,경상사고,0,0,1,0,차대차 - 기타,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,30세,상해없음,승용,남,63세,경상,35.170663,129.055329
78,2017051200100397.0,2017년 5월 12일 17시,금요일,부산광역시 부산진구 범천동,중상사고,0,1,0,0,차대차 - 정면충돌,차로위반,포장 - 젖음/습기,비,단일로 - 기타,이륜,남,64세,상해없음,승용,여,64세,중상,35.146394,129.059325
79,2017051400100065.0,2017년 5월 14일 04시,일요일,부산광역시 부산진구 가야동,경상사고,0,0,2,0,차대차 - 정면충돌,보행자보호의무위반,포장 - 건조,맑음,단일로 - 기타,승용,남,61세,상해없음,승용,남,32세,경상,35.154759000000006,129.032136
80,2017051400100084.0,2017년 5월 14일 06시,일요일,부산광역시 부산진구 부암동,중상사고,0,1,0,0,차량단독 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,이륜,남,19세,상해없음,,,,,35.162438,129.04826699999998
81,2017052500100081.0,2017년 5월 25일 06시,목요일,부산광역시 부산진구 당감동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,48세,상해없음,화물,남,61세,중상,35.161225,129.038902
82,2017052800100519.0,2017년 5월 28일 23시,일요일,부산광역시 부산진구 가야동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,개인형이동수단(PM),여,30세,중상,승용,남,56세,상해없음,35.154794,129.036324
83,2017052900100608.0,2017년 5월 29일 23시,월요일,부산광역시 부산진구 부암동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,46세,상해없음,승용,남,33세,경상,35.162776,129.049933
84,2017053100100112.0,2017년 5월 31일 08시,수요일,부산광역시 부산진구 부전동,경상사고,0,0,1,0,차대차 - 기타,중앙선침범,포장 - 건조,맑음,단일로 - 기타,승용,남,30세,기타불명,승용,남,33세,경상,35.153062,129.056266
85,2017060200100678.0,2017년 6월 2일 23시,금요일,부산광역시 부산진구 부전동,중상사고,0,3,2,0,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,40세,상해없음,승용,남,61세,경상,35.156597,129.059174
86,2017062100100055.0,2017년 6월 21일 02시,수요일,부산광역시 부산진구 초읍동,경상사고,0,0,1,0,차대차 - 정면충돌,안전운전불이행,포장 - 건조,흐림,교차로 - 교차로안,승용,남,28세,상해없음,원동기,남,37세,경상,35.175437,129.04876399999998
87,2017062300100135.0,2017년 6월 23일 08시,금요일,부산광역시 부산진구 전포동,경상사고,0,0,3,0,차대차 - 측면충돌,중앙선침범,포장 - 건조,맑음,단일로 - 기타,승용,여,39세,상해없음,화물,남,29세,경상,35.159022,129.065437
88,2017062400100280.0,2017년 6월 24일 13시,토요일,부산광역시 부산진구 가야동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,이륜,남,44세,상해없음,승용,여,62세,경상,35.155590999999994,129.040409
89,2017062600100065.0,2017년 6월 26일 06시,월요일,부산광역시 부산진구 부전동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 젖음/습기,비,단일로 - 기타,이륜,남,42세,상해없음,승용,남,45세,경상,35.158931,129.06008799999998
90,2017062900100593.0,2017년 6월 29일 23시,목요일,부산광역시 부산진구 부전동,부상신고사고,0,0,0,1,차대차 - 측면충돌,안전운전불이행,포장 - 젖음/습기,비,단일로 - 기타,이륜,남,21세,부상신고,승용,남,41세,상해없음,35.151724,129.057807
91,2017070400100320.0,2017년 7월 4일 15시,화요일,부산광역시 부산진구 부전동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 젖음/습기,비,단일로 - 기타,승용,남,22세,상해없음,화물,남,34세,경상,35.152763,129.05916299999998
92,2017071000100461.0,2017년 7월 10일 19시,월요일,부산광역시 부산진구 전포동,중상사고,0,1,1,0,차대차 - 측면충돌,신호위반,포장 - 젖음/습기,비,교차로 - 교차로안,승용,남,37세,상해없음,승용,여,42세,중상,35.150417,129.06255
93,2017071800100077.0,2017년 7월 18일 06시,화요일,부산광역시 부산진구 부전동,경상사고,0,0,2,0,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,27세,상해없음,승합,남,59세,경상,35.152967,129.06237
94,2017072100100579.0,2017년 7월 21일 21시,금요일,부산광역시 부산진구 양정동,경상사고,0,0,4,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,42세,상해없음,승용,여,58세,경상,35.173969,129.07388
95,2017072300100076.0,2017년 7월 23일 04시,일요일,부산광역시 부산진구 범천동,경상사고,0,0,4,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,38세,상해없음,승용,남,63세,경상,35.142337,129.056296
96,2017072300100093.0,2017년 7월 23일 06시,일요일,부산광역시 부산진구 부전동,부상신고사고,0,0,0,1,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,이륜,남,22세,부상신고,승용,남,59세,상해없음,35.155346,129.05993
97,2017072500100065.0,2017년 7월 25일 05시,화요일,부산광역시 부산진구 전포동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,이륜,남,18세,상해없음,승용,남,64세,상해없음,35.150653000000005,129.062429
98,2017072600100164.0,2017년 7월 26일 09시,수요일,부산광역시 부산진구 전포동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,단일로 - 기타,화물,남,56세,상해없음,보행자,여,26세,경상,35.163469,129.064621
99,2017081300100096.0,2017년 8월 13일 07시,일요일,부산광역시 부산진구 범전동,경상사고,0,0,2,0,차대차 - 정면충돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,여,25세,상해없음,승용,남,57세,경상,35.166184,129.065419
100,2017081800100045.0,2017년 8월 18일 03시,금요일,부산광역시 부산진구 부전동,부상신고사고,0,0,0,1,차대차 - 측면충돌,안전운전불이행,포장 - 젖음/습기,비,단일로 - 기타,개인형이동수단(PM),남,25세,부상신고,승용,남,58세,상해없음,35.157781,129.060151
101,2017082500100688.0,2017년 8월 25일 23시,금요일,부산광역시 부산진구 부암동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,51세,상해없음,승용,여,28세,경상,35.167536,129.05123600000002
102,2017083000100023.0,2017년 8월 30일 00시,수요일,부산광역시 부산진구 부전동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,31세,상해없음,보행자,여,61세,경상,35.163381,129.06039199999998
103,2017090600100037.0,2017년 9월 6일 01시,수요일,부산광역시 부산진구 부전동,경상사고,0,0,2,0,차대차 - 기타,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,33세,상해없음,승용,남,49세,경상,35.155182,129.059121
104,2017090600100584.0,2017년 9월 6일 21시,수요일,부산광역시 부산진구 가야동,경상사고,0,0,4,0,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,33세,상해없음,승용,남,37세,경상,35.154407,129.032095
105,2017091000100095.0,2017년 9월 10일 05시,일요일,부산광역시 부산진구 부전동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,26세,상해없음,보행자,남,18세,중상,35.155284,129.060804
106,2017091600100603.0,2017년 9월 16일 22시,토요일,부산광역시 부산진구 당감동,중상사고,0,1,0,0,차량단독 - 공작물충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,58세,중상,,,,,35.162372999999995,129.044306
107,2017091900100064.0,2017년 9월 19일 05시,화요일,부산광역시 부산진구 개금동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,26세,상해없음,승용,남,71세,경상,35.153356,129.02096
