,소재지전체주소,소재지,x,y
102,부산광역시 중구 남포동4가 5-3번지 우정프라자 6층 ,부산광역시 중구 남포동4가 5-3번지 우정프라자 6층 ,129.0308286,35.09860731
103,부산광역시 중구 부평동2가 36-5번지 2층 ,부산광역시 중구 부평동2가 36-5번지 2층 ,129.0261482,35.09858472
104,부산광역시 중구 중앙동4가 84-3번지 (2층) ,부산광역시 중구 중앙동4가 84-3번지 ,129.0372423,35.10746815
105,부산광역시 중구 동광동1가 6-4번지 ,부산광역시 중구 동광동1가 6-4번지 ,129.0354544,35.09978054
106,부산광역시 중구 동광동2가 6-6번지 ,부산광역시 중구 동광동2가 6-6번지 ,129.0352757,35.10000343
107,부산광역시 중구 부평동3가 58-1번지 (지하1층) ,부산광역시 중구 부평동3가 58-1번지 ,129.0243526,35.10046754
108,부산광역시 중구 부평동1가 35-8번지 (2층) ,부산광역시 중구 부평동1가 35-8번지 ,129.0268219,35.09957916
109,부산광역시 중구 동광동2가 16-1번지 ,부산광역시 중구 동광동2가 16-1번지 ,129.0345347,35.10089541
110,부산광역시 중구 광복동2가 41번지 ,부산광역시 중구 광복동2가 41번지 ,129.0319323,35.09889521
111,부산광역시 중구 동광동1가 13-1번지 (5층) ,부산광역시 중구 동광동1가 13-1번지 ,129.0356324,35.09917557
112,부산광역시 중구 남포동2가 16-2번지 ,부산광역시 중구 남포동2가 16-2번지 ,129.031259,35.09880556
113,부산광역시 중구 남포동6가 35번지 ,부산광역시 중구 남포동6가 35번지 ,129.0271918,35.09698119
114,부산광역시 중구 부평동2가 35-3번지 ,부산광역시 중구 부평동2가 35-3번지 ,129.0261426,35.09906784
115,부산광역시 중구 남포동5가 58-1번지 (지하1층) ,부산광역시 중구 남포동5가 58-1번지 ,129.0301305,35.09786923
116,부산광역시 중구 동광동2가 11-70번지 ,부산광역시 중구 동광동2가 11-70번지 ,129.0341769,35.09955687
117,부산광역시 중구 부평동1가 38-1번지 ,부산광역시 중구 부평동1가 38-1번지 ,129.0268716,35.09928275
118,부산광역시 중구 부평동2가 39-1번지 ,부산광역시 중구 부평동2가 39-1번지 ,129.0259512,35.0984258
119,부산광역시 중구 부평동1가 28-17번지 (지하1층) ,부산광역시 중구 부평동1가 28-17번지 ,129.0265444,35.10076975
120,부산광역시 중구 남포동6가 93-1번지 94번지 (5층) ,부산광역시 중구 남포동6가 93-1번지 94번지 ,129.0270918,35.09825533
121,부산광역시 중구 남포동5가 62-2번지 (2층) ,부산광역시 중구 남포동5가 62-2번지 ,129.0302893,35.09790622
122,부산광역시 중구 창선동2가 46-4번지 (3층) ,부산광역시 중구 창선동2가 46-4번지 ,129.0286766,35.09919847
123,부산광역시 중구 부평동2가 36-1번지 ,부산광역시 중구 부평동2가 36-1번지 ,129.026234,35.09886445
124,부산광역시 중구 남포동2가 3-2번지 (지하1층) ,부산광역시 중구 남포동2가 3-2번지 ,129.0336192,35.09811714
125,부산광역시 중구 중앙동4가 30-9번지 ,부산광역시 중구 중앙동4가 30-9번지 ,129.0357086,35.10453447
126,부산광역시 중구 부평동2가 68-9번지 (2층) ,부산광역시 중구 부평동2가 68-9번지 ,129.0257145,35.10126666
127,부산광역시 중구 중앙동4가 48-2번지 (2층) ,부산광역시 중구 중앙동4가 48-2번지 ,129.0352794,35.10526622
128,부산광역시 중구 부평동2가 52-1번지 53-7 (2층) ,부산광역시 중구 부평동2가 52-1번지 53-7 ,129.0252377,35.09936774
129,부산광역시 중구 부평동4가 6-5번지 ,부산광역시 중구 부평동4가 6-5번지 ,129.0228144,35.10247581
130,부산광역시 중구 남포동6가 70-2번지 ,부산광역시 중구 남포동6가 70-2번지 ,129.0267011,35.09771034
131,부산광역시 중구 중앙동1가 24-13번지 (2층) ,부산광역시 중구 중앙동1가 24-13번지 ,129.0351919,35.10104299
132,부산광역시 중구 영주동 743-14번지 ,부산광역시 중구 영주동 743-14번지 ,129.0359262,35.10904749
133,부산광역시 중구 남포동2가 25-1번지 26-2  36-9 ,부산광역시 중구 남포동2가 25-1번지 26-2  36-9 ,129.0325013,35.09831613
134,부산광역시 중구 남포동5가 6-3번지 (지하1층) ,부산광역시 중구 남포동5가 6-3번지 ,129.0301025,35.09868436
135,부산광역시 중구 광복동1가 30-1번지 (2층) ,부산광역시 중구 광복동1가 30-1번지 ,129.0348485,35.09904815
136,부산광역시 중구 동광동2가 12-1번지 ,부산광역시 중구 동광동2가 12-1번지 ,129.0345896,35.10045832
137,부산광역시 중구 중앙동4가 81-19번지 (지하1층) ,부산광역시 중구 중앙동4가 81-19번지 ,129.0375007,35.10780625
138,부산광역시 중구 중앙동4가 86-2번지 (지하1층) ,부산광역시 중구 중앙동4가 86-2번지 ,129.0383839,35.10698394
139,부산광역시 중구 부평동2가 76-8번지 ,부산광역시 중구 부평동2가 76-8번지 ,129.0254739,35.10217906
140,부산광역시 중구 영주동 742-13번지 ,부산광역시 중구 영주동 742-13번지 ,129.0351141,35.10902509
141,부산광역시 중구 중앙동4가 81-5번지 (지하1층) ,부산광역시 중구 중앙동4가 81-5번지 ,129.0377118,35.10870748
142,부산광역시 중구 부평동4가 17-14번지 지하1층 ,부산광역시 중구 부평동4가 17-14번지 지하1층 ,129.0229551,35.10160112
143,부산광역시 중구 부평동2가 26-5번지 ,부산광역시 중구 부평동2가 26-5번지 ,129.0262169,35.09976591
144,부산광역시 중구 남포동5가 107-1번지 (지하1층) ,부산광역시 중구 남포동5가 107-1번지 ,129.0299115,35.09717358
145,부산광역시 중구 남포동5가 58-1번지 지하1층 ,부산광역시 중구 남포동5가 58-1번지 지하1층 ,129.0301305,35.09786923
146,부산광역시 중구 부평동2가 35-3번지 ,부산광역시 중구 부평동2가 35-3번지 ,129.0261426,35.09906784
147,부산광역시 중구 남포동5가 73-2번지 ,부산광역시 중구 남포동5가 73-2번지 ,129.0300535,35.09759295
148,부산광역시 중구 부평동2가 63-11번지 (2층) ,부산광역시 중구 부평동2가 63-11번지 ,129.0252895,35.10022118
149,부산광역시 중구 동광동2가 10-5번지 (2층) ,부산광역시 중구 동광동2가 10-5번지 ,129.0346055,35.09968305
150,부산광역시 중구 부평동1가 41-21번지 (2층) ,부산광역시 중구 부평동1가 41-21번지 ,129.026423,35.09905594
151,부산광역시 중구 중앙동4가 76-3번지 (지하1층) ,부산광역시 중구 중앙동4가 76-3번지 ,129.0386244,35.11153262
152,부산광역시 중구 부평동2가 35-7번지 (2층) ,부산광역시 중구 부평동2가 35-7번지 ,129.0257696,35.09906326
153,부산광역시 중구 부평동2가 36-6번지 (2층) ,부산광역시 중구 부평동2가 36-6번지 ,129.0261635,35.09867458
154,부산광역시 중구 광복동2가 2-81번지 (3층) ,부산광역시 중구 광복동2가 2-81번지 ,129.0325347,35.09931046
155,부산광역시 중구 부평동2가 26-7번지 ,부산광역시 중구 부평동2가 26-7번지 ,129.0262191,35.09967936
156,부산광역시 중구 부평동4가 31-1번지 ,부산광역시 중구 부평동4가 31-1번지 ,129.0225039,35.10144644
157,부산광역시 중구 남포동5가 88번지 (2층) ,부산광역시 중구 남포동5가 88번지 ,129.0286217,35.09715913
158,부산광역시 중구 창선동1가 13-1번지 ,부산광역시 중구 창선동1가 13-1번지 ,129.0298678,35.09965795
159,"부산광역시 중구 중앙동4가 15-3번지 .선박(팬스타드림 B데크(3층)일부, A데크(4층)일부, 브리지데크(5층)일부, 컴패스데크(6층)일부) ",부산광역시 중구 중앙동4가 15-3번지 .선박,129.0411025,35.10430316
160,부산광역시 중구 광복동1가 4-2번지 ,부산광역시 중구 광복동1가 4-2번지 ,129.0347943,35.09951406
161,부산광역시 중구 부평동3가 42-1번지 (2층) ,부산광역시 중구 부평동3가 42-1번지 ,129.0246311,35.10090987
162,부산광역시 중구 부평동2가 36-1번지 ,부산광역시 중구 부평동2가 36-1번지 ,129.026234,35.09886445
163,부산광역시 중구 중앙동4가 30-1번지 (지하1층) ,부산광역시 중구 중앙동4가 30-1번지 ,129.0357151,35.10444424
