,위도,경도
332,35.06696428,129.0136019
333,35.08574167,129.0261861
334,35.06294444,129.0206944
335,35.13971896,129.1157997
336,35.138449,129.1147902
337,35.138449,129.1147902
338,35.14619444,129.1147778
339,35.188726,129.106258
340,35.19106243,129.0999988
341,35.192525,129.095126
342,35.06823505,129.0661235
343,35.075384,129.090968
344,35.07963333,129.0958361
345,35.08522222,129.0781389
346,35.08864342,129.0731996
347,35.082038,129.039953
348,35.082038,129.039953
349,35.093233,129.061344
350,35.093546,129.067898
351,35.0905318,129.0677628
352,35.1063286,129.0322904
353,35.1939415,129.1452449
354,35.160915,129.1405557
355,35.15526537,129.1431105
356,35.160218,129.1909717
357,35.1592827,129.1904839
358,35.1600175,129.1922935
359,35.1600175,129.1922935
360,35.1600175,129.1922935
